ItemID,Sentiment,SentimentText
0,NEGATIVO,Coronavirus: Brasil ya es el cuarto país con más muertos en el mundo https://t.co/TjTFT6I6Cs via @LANACION
1,NEGATIVO,"Hotel Mansión Alcázar en Cuenca cierra por crisis del coronavirus #ActualidadTuristicaEc https://t.co/yzuN1DZt7C El Universo https://t.co/sKmDjv4vZP"
2,NEGATIVO,Parece q las personas se olvidaron q aún está el coronavirus en el mundo https://t.co/6sWtkMjV6X
3,NEGATIVO,"e sabe que en el espacio los virus y las bacterias evolucionan de una manera anormal, ahora imagínense que uno de los tripulantes de @SpaceX porte en su sistema coronavirus y que de regreso si no muere, la enfermedad mute y sea aún más mortal."
4,NEGATIVO,unior de Barranquilla no respalda al DT Julio Comesaña en recurso de amparo contra gobierno colombiano https://t.co/dizecZnLb1 https://t.co/bUiMCvARnW
5,NEGATIVO,"@Vpar_Informa Sin tapabocas y pronuncio gritando las palabras mas transmisoras del coronavirus, Y TTTTTTUU SSSSSSSSIIIII?? :o"
6,NEGATIVO,Ivermectina y el Selenio permitirá una convivencia normal con el coronavirus ya que la infección por covid se convertirá en leve y pasajera para llegar a tener una población completamente inmunizada contra el covid sin ningún sistema de vacunación #ivermectina #selenio #Covid_19
7,NEGATIVO,"Sigue aumento de muertes y contagios en #Ecuador uno de los 5 Países que ha manejado la crisis del #Covid19 con mayor inepcia. RT en Español: Ecuador registra 642 nuevos casos de coronavirus y 102 muertes en las últimas 24 horas.https://t.co/vlzjsme0Sz a través de @GoogleNews"
8,NEGATIVO,"#ATENCIÓN | Ya hay seis millones de personas contagiadas de #Covid_19 en el mundo, según información de @JohnsHopkins.#Coronavirus #QuédateEnCasa https://t.co/Ernr3WFzCO"
9,NEGATIVO,Futbolista hace comentario racista y se burla del coronavirus https://t.co/T5qxpgIr98
10,NEGATIVO,"Negros en época de pandemia de Coronavirus haciendo multitudes. Bien dijo Daniel Angulo, son brutos son brutos. https://t.co/Br5e2iXoYP"
11,NEGATIVO,#COVID19 Reportan más de 6 millones de casos de coronavirus en el mundo - https://t.co/SL0z5pAhOX https://t.co/FGgYExW1w9
12,NEGATIVO,#Mundo | Más de 6 millones de casos de coronavirus fueron declarados oficialmente en el mundo. Los detalles https://t.co/xuQ46voQnT
13,NEGATIVO,Volvió la Derecha y como en el 2002 Volvio la Crisis La Derecha es Yeta .... Volvimos al Desempleo y al la Baja del Salario de 2002 Todo no puede ser culpa del  Coronavirus... pobrecito ¿ Estuvo bueno Cambiar ? https://t.co/VBCa8bBnNa
14,NEGATIVO,"Maldito coronavirus, devuélveme la rutina de antes que al menos no se me estaba CAYENDO LA CARA DEL MAL DORMIR."
15,NEGATIVO,"#SOSEcuador Si NO te MATA el CORONAVIRUS, lo hara, la PANDILLA, del CUANTICO TRAIDOR;, ante las MEDIDAS de OCTUBRE; que se APLICAN; tras PANDEMIA del CORONAVIRUS https://t.co/jB57nyIIWI"
16,NEGATIVO,¿Desean saber cómo los diferentes paí­ses enfrentan el impacto del COVID19 en el mundo del trabajo y la protección social? Miren este enlace de @OITAndina. @CamaraCIP @lacamaragye @prensaceosl @CEDOCUT @GomezlRichard @ibarraserrano  https://t.co/uWdULHzKTW
